,precision,recall,f1-score,support
B-POH,0.0,0.0,0.0,1.0
I-POH,0.25,0.16666666666666666,0.2,6.0
B-NOH,1.0,0.5,0.6666666666666666,2.0
I-NOH,1.0,0.5,0.6666666666666666,2.0
B-PNT,0.0,0.0,0.0,0.0
I-PNT,0.0,0.0,0.0,0.0
B-DAT,0.5,0.5,0.5,2.0
I-DAT,1.0,1.0,1.0,2.0
B-PER,0.5,1.0,0.6666666666666666,2.0
I-PER,0.4,0.6666666666666666,0.5,3.0
B-TIM,0.0,0.0,0.0,0.0
I-TIM,0.0,0.0,0.0,0.0
B-LOC,1.0,1.0,1.0,1.0
I-LOC,0.0,0.0,0.0,0.0
B-ORG,0.0,0.0,0.0,3.0
I-ORG,1.0,0.4,0.5714285714285715,10.0
B-MNY,0.0,0.0,0.0,0.0
I-MNY,0.0,0.0,0.0,0.0
B-DUR,0.0,0.0,0.0,0.0
I-DUR,0.0,0.0,0.0,0.0
micro avg,0.5172413793103449,0.4411764705882353,0.47619047619047616,34.0
macro avg,0.3325,0.2866666666666666,0.2885714285714286,34.0
weighted avg,0.638235294117647,0.4411764705882353,0.4827731092436975,34.0
